Provider,PlanID,PlanType,UtilityType,Contract,AvgMonthlyCost
tassa energy,11234,variable-rate all,NaturalGas,no-term all,8.35
bow valley power,5549,variable-rate all,NaturalGas,no-term all,8.35
bow valley power,5548,variable-rate all,NaturalGas,no-term all,8.35
vector energy,5574,variable-rate all,NaturalGas,no-term all,8.44
vector energy,5573,variable-rate all,NaturalGas,no-term all,8.44
rocky mountain community energy,12829,variable-rate all,NaturalGas,no-term all,8.45
bow valley power,22034,fixed-rate all,NaturalGas,1-year all,8.46
tassa energy,22420,fixed-rate all,NaturalGas,2-year-contract all,8.46
tassa energy,22421,fixed-rate all,NaturalGas,2-year-contract all,8.47
bow valley power,22035,fixed-rate all,NaturalGas,1-year all,8.47
vector energy,22470,fixed-rate all,NaturalGas,2-year-contract all,8.55
rocky mountain community energy,24263,fixed-rate all,NaturalGas,1-year all,8.55
rocky mountain community energy,24264,fixed-rate all,NaturalGas,2-year-contract all,8.56
rocky mountain community energy,22322,fixed-rate all,NaturalGas,2-year-contract all,8.56
vector energy,22471,fixed-rate all,NaturalGas,2-year-contract all,8.56
alberta utility source,21991,fixed-rate all,NaturalGas,1-year all,8.71
alberta utility source,21992,fixed-rate all,NaturalGas,1-year all,8.72
get energy,5559,variable-rate all,NaturalGas,no-term all,9.07
get energy,5558,variable-rate all,NaturalGas,no-term all,9.07
abode power,11976,variable-rate all,NaturalGas,1-year all,9.09
greenamp utilities,21643,variable-rate all,NaturalGas,no-term all,9.1
get energy,22143,fixed-rate all,NaturalGas,2-year-contract all,9.17
get energy,22144,fixed-rate all,NaturalGas,2-year-contract all,9.18
abode power,21908,fixed-rate all,NaturalGas,1-year all,9.19
prairie power,23847,fixed-rate all,NaturalGas,1-year all,9.19
powerbill,23849,fixed-rate all,NaturalGas,1-year all,9.19
gateway energy,24435,fixed-rate all,NaturalGas,1-year all,9.2
abode power,21909,fixed-rate all,NaturalGas,1-year all,9.2
greenamp utilities,22160,fixed-rate all,NaturalGas,1-year all,9.21
gateway energy,24436,fixed-rate all,NaturalGas,1-year all,9.21
prairie power,24069,fixed-rate all,NaturalGas,3-year-contract all,9.21
powerbill,23848,fixed-rate all,NaturalGas,3-year-contract all,9.21
greenamp utilities,22161,fixed-rate all,NaturalGas,1-year all,9.22
astro energy,19324,fixed-rate all,NaturalGas,5-years-or-more all,9.3
burst energy,16867,fixed-rate all,NaturalGas,1-year all,9.56
encor by epcor,24351,fixed-rate all,NaturalGas,2-year-contract all,9.83
regional energy,10917,variable-rate all,NaturalGas,no-term all,9.99
sponsor energy,21674,variable-rate all,NaturalGas,no-term all,10.03
sponsor energy,21673,variable-rate all,NaturalGas,no-term all,10.03
sponsor energy,706,variable-rate all,NaturalGas,no-term all,10.03
atco energy,24461,variable-rate all,NaturalGas,2-year-contract all,10.03
sponsor energy,21704,variable-rate all,NaturalGas,no-term all,10.03
atco energy,24462,variable-rate all,NaturalGas,3-year-contract all,10.03
atco energy,24463,variable-rate all,NaturalGas,5-years-or-more all,10.03
atco energy,24460,variable-rate all,NaturalGas,1-year all,10.03
sponsor energy,21672,variable-rate all,NaturalGas,no-term all,10.03
easymax by enmax energy corporation,22654,variable-rate all,NaturalGas,no-term all,10.04
sundance power,20991,variable-rate all,NaturalGas,no-term all,10.05
sundance power,20992,variable-rate all,NaturalGas,no-term all,10.05
utilities by kuby,21471,variable-rate all,NaturalGas,no-term all,10.1
utilities by kuby,21472,variable-rate all,NaturalGas,no-term all,10.1
sturgeon river utilities,23838,fixed-rate all,NaturalGas,1-year all,10.13
sturgeon river utilities,23839,fixed-rate all,NaturalGas,3-year-contract all,10.13
sturgeon river utilities,23840,fixed-rate all,NaturalGas,5-years-or-more all,10.14
sundance power,23494,fixed-rate all,NaturalGas,1-year all,10.16
68energy,17223,fixed-rate all,NaturalGas,1-year all,10.17
sundance power,23493,fixed-rate all,NaturalGas,1-year all,10.17
68energy,19329,fixed-rate all,NaturalGas,3-year-contract all,10.19
utilities by kuby,24173,fixed-rate all,NaturalGas,1-year all,10.2
atco energy,16818,fixed-rate all,NaturalGas,1-year all,10.22
atco energy,16820,fixed-rate all,NaturalGas,3-year-contract all,10.23
atco energy,16819,fixed-rate all,NaturalGas,2-year-contract all,10.23
atco energy,16821,fixed-rate all,NaturalGas,5-years-or-more all,10.24
easymax by enmax energy corporation,23789,fixed-rate all,NaturalGas,1-year all,10.24
easymax by enmax energy corporation,22659,fixed-rate all,NaturalGas,3-year-contract all,10.24
easymax by enmax energy corporation,22658,fixed-rate all,NaturalGas,5-years-or-more all,10.26
bright fire energy,21468,fixed-rate all,NaturalGas,1-year all,10.28
bright fire energy,21467,fixed-rate all,NaturalGas,5-years-or-more all,10.33
direct energy regulated services,24626,regulated-rate all,NaturalGas,no-term all,10.82
direct energy,14192,variable-rate all,NaturalGas,5-years-or-more all,12.54
direct energy,14179,variable-rate all,NaturalGas,1-year all,12.54
direct energy,14185,variable-rate all,NaturalGas,3-year-contract all,12.54
8760,20908,variable-rate all,NaturalGas,5-years-or-more all,12.68
sponsor energy,19997,fixed-rate all,NaturalGas,1-year all,12.7
8760,20907,fixed-rate all,NaturalGas,1-year all,12.71
8760,22889,fixed-rate all,NaturalGas,3-year-contract all,12.72
sponsor energy,22617,fixed-rate all,NaturalGas,3-year-contract all,12.73
8760,20906,fixed-rate all,NaturalGas,5-years-or-more all,12.73
direct energy,24613,fixed-rate all,NaturalGas,1-year all,12.74
direct energy,24610,fixed-rate all,NaturalGas,1-year all,12.74
direct energy,24607,fixed-rate all,NaturalGas,1-year all,12.74
sponsor energy,20371,fixed-rate all,NaturalGas,5-years-or-more all,12.74
direct energy,24616,fixed-rate all,NaturalGas,5-years-or-more all,12.76
wholesale power,9245,variable-rate all,NaturalGas,no-term all,14.0
wholesale power,22496,fixed-rate all,NaturalGas,2-year-contract all,14.1
guardian utilities,16724,variable-rate all,NaturalGas,no-term all,14.5
guardian utilities,23243,fixed-rate all,NaturalGas,1-year all,14.6
strathcona power,24545,fixed-rate all,NaturalGas,1-year all,14.91
strathcona power,24546,fixed-rate all,NaturalGas,3-year-contract all,14.94
strathcona power,24547,fixed-rate all,NaturalGas,5-years-or-more all,14.94
rewards power,24408,fixed-rate all,NaturalGas,1-year all,15.21
rewards power,24410,fixed-rate all,NaturalGas,5-years-or-more all,15.23
rewards power,24409,fixed-rate all,NaturalGas,3-year-contract all,15.23
altaconnect,12848,variable-rate all,NaturalGas,no-term all,15.54
big energy,21702,fixed-rate all,NaturalGas,1-year all,15.9
wholesale power,23817,variable-rate all,NaturalGas,no-term all,17.0
big energy,10905,variable-rate all,NaturalGas,no-term all,17.02
wholesale power,23821,fixed-rate all,NaturalGas,2-year-contract all,17.1
guardian utilities,23801,variable-rate all,NaturalGas,no-term all,17.5
guardian utilities,23803,fixed-rate all,NaturalGas,1-year all,17.6
choice energy,23786,fixed-rate all,NaturalGas,1-year all,17.91
choice energy,19322,fixed-rate all,NaturalGas,5-years-or-more all,17.93
choice energy,23785,fixed-rate all,NaturalGas,3-year-contract all,17.93
link energy,20134,fixed-rate all,NaturalGas,1-year all,18.92
link energy,20133,fixed-rate all,NaturalGas,5-years-or-more all,18.94
link energy,23784,fixed-rate all,NaturalGas,3-year-contract all,18.94
link energy,16866,variable-rate all,NaturalGas,no-term all,19.02
olympus energy,23846,fixed-rate all,NaturalGas,1-year all,19.7
wholesale power,23818,variable-rate all,NaturalGas,no-term all,20.0
wholesale power,23822,fixed-rate all,NaturalGas,2-year-contract all,20.1
guardian utilities,23802,variable-rate all,NaturalGas,no-term all,20.5
guardian utilities,23804,fixed-rate all,NaturalGas,1-year all,20.6
burst energy,16719,variable-rate all,Electricity,5-years-or-more all,21.66
peace power,16624,fixed-rate all,NaturalGas,1-year all,21.8
abode power,19493,variable-rate all,Electricity,no-term all,22.99
alberta cooperative energy (ace),24155,variable-rate all,Electricity,no-term all,23.62
sponsor energy,20547,variable-rate all,Electricity,no-term all,23.65
bright fire energy,10906,variable-rate all,Electricity,no-term all,23.65
